freeCodeCamp,freeCodeCamp,310708,14411,14215,196
996icu,996.ICU,249539,0,0,0
vuejs,vue,163964,8990,8675,315
facebook,react,148635,9141,8646,495
EbookFoundation,free-programming-books,147459,427,400,27
tensorflow,tensorflow,144317,25002,21585,3417
twbs,bootstrap,140747,19257,18972,285
sindresorhus,awesome,133036,251,235,16
getify,You-Dont-Know-JS,121182,834,761,73
jwasham,coding-interview-university,114936,115,86,29
ohmyzsh,ohmyzsh,109704,3333,3106,227
kamranahmedse,developer-roadmap,108087,420,405,15
github,gitignore,101534,0,0,0
CyC2018,CS-Notes,100908,399,368,31
microsoft,vscode,96282,89232,84437,4795
airbnb,javascript,95373,985,906,79
donnemartin,system-design-primer,95190,117,33,84
flutter,flutter,92402,37004,29431,7573
d3,d3,91478,2036,2032,4
torvalds,linux,90946,0,0,0
facebook,react-native,87182,19351,18607,744
jackfrued,Python-100-Days,85606,353,65,288
electron,electron,82661,12920,11783,1137
vinta,awesome-python,82407,167,165,2
public-apis,public-apis,81870,128,123,5
facebook,create-react-app,78664,5804,5298,506
Snailclimb,JavaGuide,78655,383,359,24
jlevy,the-art-of-command-line,75322,163,80,83
axios,axios,73194,2288,2054,234
golang,go,72496,37767,32102,5665
TheAlgorithms,Python,71643,296,286,10
danistefanovic,build-your-own-x,70700,315,264,51
trekhleb,javascript-algorithms,70081,135,83,52
nodejs,node,69969,11601,10617,984
animate-css,animate.css,66644,707,706,1
justjavac,free-programming-books-zh_CN,66427,0,0,0
ytdl-org,youtube-dl,66110,20283,17488,2795
kubernetes,kubernetes,66011,34716,32698,2018
tensorflow,models,63694,5297,4489,808
FortAwesome,Font-Awesome,62819,15964,10670,5294
microsoft,terminal,61480,4615,3748,867
puppeteer,puppeteer,61310,3946,2951,995
angular,angular,60988,20762,17909,2853
mrdoob,three.js,60542,9712,9267,445
microsoft,TypeScript,60363,26315,21853,4462
ossu,computer-science,59773,450,443,7
ant-design,ant-design,59705,17292,16830,462
angular,angular.js,59530,8986,8596,390
laravel,laravel,59132,0,0,0
iluwatar,java-design-patterns,57708,542,379,163
mui-org,material-ui,57327,11082,10693,389
moby,moby,57046,20177,16576,3601
30-seconds,30-seconds-of-code,56532,242,242,0
avelino,awesome-go,54357,218,211,7
PanJiaChen,vue-element-admin,54289,2707,2111,596
webpack,webpack,54188,7104,6737,367
vuejs,awesome-vue,54092,170,109,61
