owner/login,name,stargazers/totalCount,issues/totalCount,closedIssues/totalCount,openIssues/totalCount,questions/totalCount,answers/totalCount
freeCodeCamp,freeCodeCamp,310708,14411,14215,196,0,0
996icu,996.ICU,249539,0,0,0,0,0
vuejs,vue,163964,8990,8675,315,0,0
facebook,react,148635,9141,8646,495,0,0
EbookFoundation,free-programming-books,147459,427,400,27,0,0
tensorflow,tensorflow,144317,25002,21585,3417,0,0
twbs,bootstrap,140747,19257,18972,285,0,0
sindresorhus,awesome,133036,251,235,16,0,0
getify,You-Dont-Know-JS,121182,834,761,73,0,0
jwasham,coding-interview-university,114936,115,86,29,0,0
ohmyzsh,ohmyzsh,109704,3333,3106,227,0,0
kamranahmedse,developer-roadmap,108087,420,405,15,0,0
github,gitignore,101534,0,0,0,0,0
CyC2018,CS-Notes,100908,399,368,31,0,0
microsoft,vscode,96282,89232,84437,4795,0,0
airbnb,javascript,95373,985,906,79,0,0
donnemartin,system-design-primer,95190,117,33,84,0,0
flutter,flutter,92402,37004,29431,7573,0,0
d3,d3,91478,2036,2032,4,0,0
torvalds,linux,90946,0,0,0,0,1
facebook,react-native,87182,19351,18607,744,0,0
jackfrued,Python-100-Days,85606,353,65,288,0,0
electron,electron,82661,12920,11783,1137,0,0
vinta,awesome-python,82407,167,165,2,0,0
public-apis,public-apis,81870,128,123,5,0,0
facebook,create-react-app,78664,5804,5298,506,0,0
Snailclimb,JavaGuide,78655,383,359,24,0,0
jlevy,the-art-of-command-line,75322,163,80,83,0,0
axios,axios,73194,2288,2054,234,0,0
golang,go,72496,37767,32102,5665,3,17
TheAlgorithms,Python,71643,296,286,10,0,0
danistefanovic,build-your-own-x,70700,315,264,51,0,0
trekhleb,javascript-algorithms,70081,135,83,52,0,0
nodejs,node,69969,11601,10617,984,0,0
animate-css,animate.css,66644,707,706,1,0,0
justjavac,free-programming-books-zh_CN,66427,0,0,0,0,0
ytdl-org,youtube-dl,66110,20283,17488,2795,0,0
kubernetes,kubernetes,66011,34716,32698,2018,0,0
tensorflow,models,63694,5297,4489,808,0,0
FortAwesome,Font-Awesome,62819,15964,10670,5294,0,0
microsoft,terminal,61480,4615,3748,867,0,0
puppeteer,puppeteer,61310,3946,2951,995,0,0
angular,angular,60988,20762,17909,2853,0,0
mrdoob,three.js,60542,9712,9267,445,0,0
microsoft,TypeScript,60363,26315,21853,4462,0,0
ossu,computer-science,59773,450,443,7,0,0
ant-design,ant-design,59705,17292,16830,462,0,0
angular,angular.js,59530,8986,8596,390,0,0
laravel,laravel,59132,0,0,0,0,0
iluwatar,java-design-patterns,57708,542,379,163,0,0
mui-org,material-ui,57327,11082,10693,389,0,0
moby,moby,57046,20177,16576,3601,0,0
30-seconds,30-seconds-of-code,56532,242,242,0,0,0
avelino,awesome-go,54357,218,211,7,0,0
PanJiaChen,vue-element-admin,54289,2707,2111,596,0,0
webpack,webpack,54188,7104,6737,367,0,0
vuejs,awesome-vue,54092,170,109,61,0,0
MisterBooo,LeetCodeAnimation,53982,32,32,0,0,0
denoland,deno,53490,2041,1540,501,0,0
nvbn,thefuck,53462,542,352,190,0,0
jquery,jquery,53314,2008,1945,63,0,0
reduxjs,redux,53196,1760,1729,31,0,0
atom,atom,51892,15682,15110,572,0,0
apple,swift,51574,0,0,0,0,0
hakimel,reveal.js,51554,1781,1312,469,0,0
pallets,flask,50314,1930,1909,21,0,0
socketio,socket.io,49600,2841,2362,479,0,0
shadowsocks,shadowsocks-windows,49300,2495,2447,48,0,0
django,django,49278,0,0,0,0,0
elastic,elasticsearch,48854,23724,21286,2438,0,0
chartjs,Chart.js,48700,5119,4717,402,0,0
expressjs,express,48601,3280,3185,95,0,0
zeit,next.js,48217,6366,5905,461,0,0
keras-team,keras,48198,10108,7138,2970,0,0
storybookjs,storybook,48006,5324,4790,534,0,0
Semantic-Org,Semantic-UI,47854,6092,5212,880,0,0
spring-projects,spring-boot,47684,17134,16710,424,0,0
typicode,json-server,47319,865,394,471,0,0
chrislgarry,Apollo-11,47066,359,264,95,0,0
tonsky,FiraCode,46973,898,656,242,0,0
jakubroztocil,httpie,46698,603,464,139,0,0
netdata,netdata,46647,5247,4528,719,0,0
adam-p,markdown-here,46376,544,291,253,0,0
rails,rails,45579,13738,13350,388,0,0
xingshaocheng,architect-awesome,45330,62,18,44,0,0
ElemeFE,element,45241,15055,13568,1487,0,0
h5bp,html5-boilerplate,44824,1168,1165,3,0,0
lodash,lodash,44764,3670,3607,63,0,0
rust-lang,rust,44734,34192,28756,5436,1,1
josephmisiti,awesome-machine-learning,44617,63,63,0,0,0
opencv,opencv,44503,6587,4863,1724,0,0
awesome-selfhosted,awesome-selfhosted,44418,513,450,63,0,0
h5bp,Front-end-Developer-Interview-Questions,44413,97,93,4,0,0
resume,resume.github.com,44383,83,54,29,0,0
kdn251,interviews,44333,43,16,27,0,0
gatsbyjs,gatsby,44330,10397,9749,648,0,0
moment,moment,44003,3664,3407,257,0,0
gohugoio,hugo,43964,4610,4135,475,0,0
goldbergyoni,nodebestpractices,43766,180,162,18,0,0
doocs,advanced-java,43471,95,85,10,0,0
bitcoin,bitcoin,43373,5422,4930,492,0,0
ansible,ansible,43126,27134,23007,4127,0,0
antirez,redis,42845,4190,2377,1813,0,0
ReactiveX,RxJava,42639,2918,2902,16,0,0
yangshun,tech-interview-handbook,42637,0,0,0,0,0
psf,requests,42460,3133,2913,220,0,0
meteor,meteor,41756,8320,8222,98,0,0
nvm-sh,nvm,41743,1384,1142,242,0,0
mtdvio,every-programmer-should-know,41562,28,16,12,0,0
protocolbuffers,protobuf,41516,3896,2988,908,0,0
kelseyhightower,nocode,41437,3531,418,3113,0,0
